demo_id,domain,status,mode,returncode,seconds,code_sha256,stdout_path,stderr_path,stdout_sha256,stderr_sha256,notes
33,standard_model,PASS,cert,0,0.581792,33413bbb5d92dc70572d72e928f9adf6e165b493a74ed01da1bb19e1361460af,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T012825Z/logs/standard_model__demo-33-first-principles-standard-model-sm28-closure.out.txt,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T012825Z/logs/standard_model__demo-33-first-principles-standard-model-sm28-closure.err.txt,e99729564a0915a259accc26d954a8893e430a92ebd9296f2122445d003a5428,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
34,bridge,PASS,run,0,0.689968,396c4588e85de170a7ea898ac1311b1f09ae7cef7024cc8f619ccb82cc00de1e,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T012825Z/logs/bridge__demo-34-omega-sm-master-flagship-v1.out.txt,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T012825Z/logs/bridge__demo-34-omega-sm-master-flagship-v1.err.txt,f76794770674c64b1a4403defd7eda83f582d34c5a3b9ba7fa2e314675a5eee0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
36,cosmo,PASS,run,0,17.788049,be1384b930644f1d3e142422a1603811e2363014c4824850de0b205d4519bc8f,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T012825Z/logs/cosmo__demo-36-big-bang-master-flagship.out.txt,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T012825Z/logs/cosmo__demo-36-big-bang-master-flagship.err.txt,a51d04e3f21491793fbaf6bcc7653a6f9244543806ff9098115bcdd3c746ad49,8a127c70176f7aaf960b1d05e9a2d7faa5ada4d4a75b14b935cc1d256a2e6fd4,
37,standard_model,PASS,run,0,0.232863,2278243c792ac568e606e097da916f958d26486f4c96367cef7bba5914aac20b,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T012825Z/logs/standard_model__demo-37-math-sm-master-flagship.out.txt,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T012825Z/logs/standard_model__demo-37-math-sm-master-flagship.err.txt,b85d20f3cd86f00561f689a08b6d1f0706e88c14d40ad92f52848a3d66bba6be,fa7469ec28d85a25f1673d080d3e681cf07623cdbb3f031dcdbe5bf731de5745,
39,cosmo,PASS,run,0,0.310155,e72e7790657950b2f91ec38c3a9014394a10ed5ad0d48ede23e29a124edf1b64,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T012825Z/logs/cosmo__demo-39-bb-a2.out.txt,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T012825Z/logs/cosmo__demo-39-bb-a2.err.txt,373194eb770f4d1ddacb1894b1c46bdbbeadbe1e2c29cb8f92b4586492171af5,1d387fcbd16df8bad75dbbdf152f1d6614037fa87fbdf67cfde1f2149321c33a,
40,substrate,PASS,run,0,0.211855,b12dd83a0b14307ec17de80f1286391c85bdae6904536a556a4e35d9445e7eb4,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T012825Z/logs/substrate__demo-40-universe-from-zero.out.txt,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T012825Z/logs/substrate__demo-40-universe-from-zero.err.txt,a5911091582bf237edd922501dea0eb4d8ca74cd3e0be5c0efbf33c092a3e59a,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
51,general_relativity,PASS,run,0,0.090802,f0912b3074c3de95e9b8e78cbc92dd5a1c576a65b31587889009bdbfd838e870,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T012825Z/logs/general_relativity__demo-51-qft-gr-vacuum-suppression.out.txt,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T012825Z/logs/general_relativity__demo-51-qft-gr-vacuum-suppression.err.txt,676041987f324c04a635ebd0aa234a249b5f2469482948c74e9a819c3daf182a,35c80af9739e17ee611fa001036951b10126d268e2e8c09073659a1536a2a96b,
53,foundations,PASS,run,0,0.572584,3bb3ee1797bb7e46bbd488f7c27a631b6677a28d6b026623bd9fcb76bd04b45d,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T012825Z/logs/foundations__demo-53-lawbook-emergence.out.txt,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T012825Z/logs/foundations__demo-53-lawbook-emergence.err.txt,6734da516df09d588bd58935c093ecba9d8b22fde4d3bd5b752a2410749171e6,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
54,standard_model,PASS,run,0,2.697181,c43a2a3b36de4d68a45882247387ca0746ecb1ebc27a486d1dd359b95820ee65,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T012825Z/logs/standard_model__demo-54-master-flagship-demo.out.txt,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T012825Z/logs/standard_model__demo-54-master-flagship-demo.err.txt,a16f082b297af92e45462119c112d218a9d4969401c273328e2c220b97df97e3,895fd24a412edb6859f1ef50adcb189acc1efbc15057b2383c6dddae5d8ae2ac,
55,standard_model,PASS,run,0,0.053489,d614263c9bf5aa4aba59c632765808ae521f5834390a1b6dc9cfb2ce712a3a49,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T012825Z/logs/standard_model__demo-55-proton-charge-radius.out.txt,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T012825Z/logs/standard_model__demo-55-proton-charge-radius.err.txt,e52814e4149315731ed39266cf498d71f666996ed960335f403ede53d31a3a8b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
56,controllers,PASS,run,0,24.267026,833acd006473c7d3b15edab630458e0d6098299041ac0850bf0dd2e8805e90a6,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T012825Z/logs/controllers__demo-56-deterministic-operator-calculus-vs-fd.out.txt,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T012825Z/logs/controllers__demo-56-deterministic-operator-calculus-vs-fd.err.txt,2a11cc21b9f88888c30e7c4cb679c9954848b91a5c69f870301dd614b331c511,f5e77d1c0760411daab72a905be3a6857e6de36e2c294f89baae057b14b68404,
58,general_relativity,PASS,run,0,0.976828,4a573b4927fb8682d04293870edd17e90aa84c972f12da542e448a4eebc9b7be,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T012825Z/logs/general_relativity__demo-58-emergent-weak-field-gr.out.txt,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T012825Z/logs/general_relativity__demo-58-emergent-weak-field-gr.err.txt,014e7173156d197c580cdb15599ea28d354a4e1f2e0b80f349d67c513a48c5ac,f88b058fa935fe5c42dfe6b7c419ef5aff0af563f54f74a6a449e918601de914,
59,controllers,PASS,run,0,0.688051,e2c60511de1f189674d6de23fa3a2e49fe5515c9a6b14738e715d1adf3cf1b1f,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T012825Z/logs/controllers__demo-59-electromagnetism.out.txt,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T012825Z/logs/controllers__demo-59-electromagnetism.err.txt,d7d2d9084da3fbd283456887d180ed648d1c2a1eb69a75e5edeedd0b1e0f63d7,d08bda10cb25f4a936eeab5960d1419880898b4d7558a46719818b03c013a318,
60,quantum,PASS,run,0,0.251074,fba4ac6667a7e649d774e3aee773be53362fd17c92af83a116c2122536b660f2,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T012825Z/logs/quantum__demo-60-quantum-master-flagship.out.txt,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T012825Z/logs/quantum__demo-60-quantum-master-flagship.err.txt,424132ee077c55e942089da16953d1c7af8c8e4baa8004f2973787f3941c1b70,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
63,general_relativity,PASS,run,0,0.154056,ac29eabd147832e91543a2f1b2975d222ea526e2536e9c34a63e3fb193b4c37d,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T012825Z/logs/general_relativity__demo-63-gravitational-wave-inspiral-phasing.out.txt,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T012825Z/logs/general_relativity__demo-63-gravitational-wave-inspiral-phasing.err.txt,5621911544af6f58001acd6d9e457a3e4cfdafd984834aec2d85510d3714b452,d28d2cdfc44fd8aa9c1f8033ea98b5007dd8eb6976a2763e0873089fb2acf675,
64,substrate,PASS,run,0,0.078087,6c0694a41546b177acc71cc8e29d6ca3395e2c8feacedc5affe2063a4251aca5,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T012825Z/logs/substrate__demo-64-base-gauge-invariance-integer-selector.out.txt,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T012825Z/logs/substrate__demo-64-base-gauge-invariance-integer-selector.err.txt,253323880fe8a5d6ca7af862ad6cc532224eb2d0aacf0405b59f210095300ea2,32d37004e3a4e4a22878824c52cf7dc3139912100a73c1a7cbea4a11209afa9d,
65,infinity,PASS,run,0,2.934235,fbc59e24b80b3f94061e68fa213b7cc6b7b37090d1cb6b14ea0d05f2b4161d3a,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T012825Z/logs/infinity__demo-65-continuous-lift-paradox.out.txt,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T012825Z/logs/infinity__demo-65-continuous-lift-paradox.err.txt,464e5df89189fcaba30387d300042c8b33a30bf5cf14fc8109b860062512e78b,a3eba0d313dafa5c500d29d333d096a3bd7baccce8c90289a9bda316c9fd2cc8,
